analysis_variant,candidate_filter,n,keep_rate_pct,mean_10d_net_pct,win_rate_10d_net_pct,failure_rate_10d_pct,failures_removed_pct,winners_kept_pct
tradable_filter,bear_regime_only,253,46.08,4.034,75.49,24.51,73.5,60.63
tradable_filter,exclude_bull_and_panic_drop_ge_10pct,272,49.54,3.526,70.96,29.04,66.24,61.27
tradable_filter,panic_drop_ge_10pct,328,59.74,3.231,67.99,32.01,55.13,70.79
tradable_filter,exclude_bull_and_close_pos_ge_0_7,223,40.62,2.964,67.71,32.29,69.23,47.94
tradable_filter,reclaim_pct_ge_1pct,278,50.64,2.922,63.67,36.33,56.84,56.19
tradable_filter,volume_ratio_ge_1_2,202,36.79,2.533,63.86,36.14,68.8,40.95
tradable_filter,close_pos_ge_0_7,255,46.45,2.52,63.92,36.08,60.68,51.75
tradable_filter,exclude_bull_regime,426,77.6,2.406,62.44,37.56,31.62,84.44
tradable_next_close_confirm,bear_regime_only,219,51.05,5.09,82.19,17.81,76.36,68.18
tradable_next_close_confirm,exclude_bull_and_panic_drop_ge_10pct,243,56.64,4.44,76.95,23.05,66.06,70.83
tradable_next_close_confirm,panic_drop_ge_10pct,275,64.1,3.932,73.45,26.55,55.76,76.52
tradable_next_close_confirm,exclude_bull_and_close_pos_ge_0_7,213,49.65,3.757,71.83,28.17,63.64,57.95
tradable_next_close_confirm,reclaim_pct_ge_1pct,254,59.21,3.281,68.11,31.89,50.91,65.53
tradable_next_close_confirm,exclude_bull_regime,359,83.68,3.208,67.13,32.87,28.48,91.29
tradable_next_close_confirm,close_pos_ge_0_7,235,54.78,3.183,68.51,31.49,55.15,60.98
tradable_next_close_confirm,volume_ratio_ge_1_2,169,39.39,2.777,70.41,29.59,69.7,45.08
