ticker,trade_date,market_regime,pre_rank_score,breakout_next_not_low_open,cache_hit,intraday_rows,intraday_strong_attack,below_open_after_1130
2486,2026-05-04,bull,75.0,False,False,211,True,False
2855,2026-05-04,bull,75.0,False,False,253,True,False
2395,2026-05-04,bull,75.0,False,False,260,True,False
3498,2026-05-04,bull,75.0,False,False,140,True,False
4951,2026-05-04,bull,75.0,False,False,170,True,False
6207,2026-04-30,bull,85.0,True,False,266,True,False
2417,2026-04-30,bull,85.0,True,False,245,True,True
4576,2026-04-30,bull,85.0,True,False,212,True,False
1595,2026-04-30,bull,79.0,True,False,140,True,False
2486,2026-04-30,bull,77.0,True,False,266,True,False
2464,2026-04-28,bull,85.0,True,False,246,True,False
6405,2026-04-28,bull,85.0,True,False,183,True,False
4958,2026-04-28,bull,75.0,False,False,265,True,False
3605,2026-04-28,bull,75.0,False,False,265,True,False
8103,2026-04-28,bull,75.0,False,False,216,True,False
3374,2026-04-27,bull,85.0,True,False,255,False,False
8103,2026-04-27,bull,85.0,True,False,243,True,False
6735,2026-04-27,bull,85.0,True,False,51,True,False
5483,2026-04-27,bull,79.0,True,False,245,True,False
4927,2026-04-27,bull,75.0,False,False,265,True,False
